,CustomerID,Gender,Age,Annual Income (k$),Spending Score (1-100),cluster_id
0,1,Male,19,15,39,Careful Spenders
1,2,Male,21,15,81,Risky Spenders
2,3,Female,20,16,6,Careful Spenders
3,4,Female,23,16,77,Risky Spenders
4,5,Female,31,17,40,Careful Spenders
5,6,Female,22,17,76,Risky Spenders
6,7,Female,35,18,6,Careful Spenders
7,8,Female,23,18,94,Risky Spenders
8,9,Male,64,19,3,Careful Spenders
9,10,Female,30,19,72,Risky Spenders
10,11,Male,67,19,14,Careful Spenders
11,12,Female,35,19,99,Risky Spenders
12,13,Female,58,20,15,Careful Spenders
13,14,Female,24,20,77,Risky Spenders
14,15,Male,37,20,13,Careful Spenders
15,16,Male,22,20,79,Risky Spenders
16,17,Female,35,21,35,Careful Spenders
17,18,Male,20,21,66,Risky Spenders
18,19,Male,52,23,29,Careful Spenders
19,20,Female,35,23,98,Risky Spenders
20,21,Male,35,24,35,Careful Spenders
21,22,Male,25,24,73,Risky Spenders
22,23,Female,46,25,5,Careful Spenders
23,24,Male,31,25,73,Risky Spenders
24,25,Female,54,28,14,Careful Spenders
25,26,Male,29,28,82,Risky Spenders
26,27,Female,45,28,32,Careful Spenders
27,28,Male,35,28,61,Risky Spenders
28,29,Female,40,29,31,Careful Spenders
29,30,Female,23,29,87,Risky Spenders
30,31,Male,60,30,4,Careful Spenders
31,32,Female,21,30,73,Risky Spenders
32,33,Male,53,33,4,Careful Spenders
33,34,Male,18,33,92,Risky Spenders
34,35,Female,49,33,14,Careful Spenders
35,36,Female,21,33,81,Risky Spenders
36,37,Female,42,34,17,Careful Spenders
37,38,Female,30,34,73,Risky Spenders
38,39,Female,36,37,26,Careful Spenders
39,40,Female,20,37,75,Risky Spenders
40,41,Female,65,38,35,Careful Spenders
41,42,Male,24,38,92,Risky Spenders
42,43,Male,48,39,36,Careful Spenders
43,44,Female,31,39,61,Average Spenders
44,45,Female,49,39,28,Careful Spenders
45,46,Female,24,39,65,Risky Spenders
46,47,Female,50,40,55,Average Spenders
47,48,Female,27,40,47,Average Spenders
48,49,Female,29,40,42,Average Spenders
49,50,Female,31,40,42,Average Spenders
50,51,Female,49,42,52,Average Spenders
51,52,Male,33,42,60,Average Spenders
52,53,Female,31,43,54,Average Spenders
53,54,Male,59,43,60,Average Spenders
54,55,Female,50,43,45,Average Spenders
55,56,Male,47,43,41,Average Spenders
56,57,Female,51,44,50,Average Spenders
57,58,Male,69,44,46,Average Spenders
58,59,Female,27,46,51,Average Spenders
59,60,Male,53,46,46,Average Spenders
60,61,Male,70,46,56,Average Spenders
61,62,Male,19,46,55,Average Spenders
62,63,Female,67,47,52,Average Spenders
63,64,Female,54,47,59,Average Spenders
64,65,Male,63,48,51,Average Spenders
65,66,Male,18,48,59,Average Spenders
66,67,Female,43,48,50,Average Spenders
67,68,Female,68,48,48,Average Spenders
68,69,Male,19,48,59,Average Spenders
69,70,Female,32,48,47,Average Spenders
70,71,Male,70,49,55,Average Spenders
